	a	b	v	x	z	y
0	-0.250919762305275	-0.6297341423227607	-0.47658863252818806	0.345405988417796	0.14399175656718555	0.4336019336617073
1	0.9014286128198323	0.08380189475671629	-0.5060424018560004	0.5933627943827446	0.6108646585999726	-0.13695372151243412
2	0.4639878836228102	0.7458916717528166	0.8125091610420734	-0.49906420241500205	0.5203218595803181	0.9748531030697538
3	0.1973169683940732	0.46444977281912236	-0.5009076003009878	0.24974819921399782	-0.6922001906124526	-0.642740348339648
4	-0.687962719115127	0.6131222957228994	-0.456100547742738	0.14349196628749739	-0.7015010605170522	-3.4941198084925014
5	-0.6880109593275947	0.3175667334214347	0.5187965248359274	0.6656607535765422	-0.46365126451017336	-0.39321767928034546
6	-0.8838327756636011	0.38455312903570493	-0.10052031509892001	0.8121741209625211	-0.2778505473179256	-2.64369449808979
7	0.7323522915498704	0.6983913031306386	0.5534211139103624	-0.9756864570452264	-0.1830888371830348	0.7258600467534084
8	0.2022300234864176	-0.5006639822816281	-0.8692676848712295	0.3480398381175853	0.35939443366669055	-1.458260437000735
9	0.416145155592091	-0.021150072713719048	-0.024857612653231387	-0.896328401760542	-0.8866391356683292	-0.850325800585523
10	-0.9588310114083951	-0.5575811163607955	-0.9327727996334347	0.09771733015471185	-0.9306545915478672	1.9125095324223333
11	0.9398197043239886	0.975336015993294	-0.874693593089291	-0.4247345419126436	-0.21617887411218195	6.769711493190764
12	0.6648852816008435	0.8881186793732265	0.8128749066888219	-0.3864468009557176	0.3943273842759609	2.680777984587892
13	-0.5753217786434477	-0.9211463772629882	-0.7215092577648097	-0.29408299309528685	-0.6131293140870349	3.415338527138165
14	-0.6363500655857988	0.41115034503137693	0.06484136455043421	0.24258489809922024	0.2830089625125034	-1.2238861883972136
15	-0.6331909802931324	0.8504966348313316	-0.1778087947985869	-0.3319000686624616	-0.48034372411940107	-3.475445506978806
16	-0.39151551408092455	-0.6388493097453329	-0.30531334748231465	0.4653981011805608	0.7721722176270327	1.7045197044447598
17	0.04951286326447568	0.13589046110525893	0.7996666913745449	-0.19094522885226062	0.791379888533233	0.22097968589097028
18	-0.13610996271576847	0.8309765951760837	-0.956353206449021	-0.8632935993800828	-0.405425591437347	2.2184036557363296
19	-0.4175417196039162	-0.9321080428284023	0.3275793723511782	0.5675196849682145	-0.540012492073519	2.5387824470770566
20	0.22370578944475894	0.39484053449367984	0.9267888684271008	-0.428483350814588	-0.17739205586753748	-1.2358777743905602
21	-0.7210122786959163	-0.40530198525489847	0.12033636692368388	-0.13446624080147473	-0.5189368296397026	1.1697047024842369
22	-0.4157107029295637	0.8487923907530608	0.8736449240661837	0.37088776644380306	0.3447676865834073	-0.4762479436164202
23	-0.2672763134126166	0.9421164903307355	-0.8954842414279525	-0.33508768570257597	0.652129369096571	0.34155980322445645
24	-0.08786003156592814	0.8885329782268678	-0.1624133618516772	-0.8868286877065688	0.346184261822434	0.4539163629638895
25	0.5703519227860272	-0.051571566685072456	-0.4796844180758977	-0.2521579059743728	0.6487008944986989	0.9560421147414013
26	-0.6006524356832805	0.7240853019786269	0.4616419299614596	0.8888971653886069	-0.20601567558505174	-1.1741484653715386
27	0.02846887682722321	0.6890987970701408	0.9625941809944933	0.2834687945971164	-0.6873660585822783	0.5218028027620167
